,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
1267,"Thu, Apr 30, 2015",7:00p,Chicago Bulls,120,Milwaukee Bucks,66,Box Score,,"18,717",BMO Harris Bradley Center,
1268,"Thu, Apr 30, 2015",9:30p,Los Angeles Clippers,102,San Antonio Spurs,96,Box Score,,"18,581",AT&T Center,
1269,"Fri, May 1, 2015",8:00p,Atlanta Hawks,111,Brooklyn Nets,87,Box Score,,"17,732",Barclays Center,
1270,"Sat, May 2, 2015",8:00p,San Antonio Spurs,109,Los Angeles Clippers,111,Box Score,,"19,588",STAPLES Center,
1271,"Sun, May 3, 2015",1:00p,Washington Wizards,104,Atlanta Hawks,98,Box Score,,"18,148",Philips Arena,
1272,"Sun, May 3, 2015",3:30p,Memphis Grizzlies,86,Golden State Warriors,101,Box Score,,"19,596",Oracle Arena,
1273,"Mon, May 4, 2015",7:00p,Chicago Bulls,99,Cleveland Cavaliers,92,Box Score,,"20,562",Quicken Loans Arena,
1274,"Mon, May 4, 2015",9:30p,Los Angeles Clippers,117,Houston Rockets,101,Box Score,,"18,231",Toyota Center,
1275,"Tue, May 5, 2015",8:00p,Washington Wizards,90,Atlanta Hawks,106,Box Score,,"18,131",Philips Arena,
1276,"Tue, May 5, 2015",10:30p,Memphis Grizzlies,97,Golden State Warriors,90,Box Score,,"19,596",Oracle Arena,
1277,"Wed, May 6, 2015",7:00p,Chicago Bulls,91,Cleveland Cavaliers,106,Box Score,,"20,562",Quicken Loans Arena,
1278,"Wed, May 6, 2015",9:30p,Los Angeles Clippers,109,Houston Rockets,115,Box Score,,"18,310",Toyota Center,
1279,"Fri, May 8, 2015",8:00p,Cleveland Cavaliers,96,Chicago Bulls,99,Box Score,,"22,246",United Center,
1280,"Fri, May 8, 2015",10:30p,Houston Rockets,99,Los Angeles Clippers,124,Box Score,,"19,367",STAPLES Center,
1281,"Sat, May 9, 2015",5:00p,Atlanta Hawks,101,Washington Wizards,103,Box Score,,"20,356",Verizon Center,
1282,"Sat, May 9, 2015",8:00p,Golden State Warriors,89,Memphis Grizzlies,99,Box Score,,"18,119",FedEx Forum,
1283,"Sun, May 10, 2015",3:30p,Cleveland Cavaliers,86,Chicago Bulls,84,Box Score,,"22,256",United Center,
1284,"Sun, May 10, 2015",8:30p,Houston Rockets,95,Los Angeles Clippers,128,Box Score,,"19,490",STAPLES Center,
1285,"Mon, May 11, 2015",7:00p,Atlanta Hawks,106,Washington Wizards,101,Box Score,,"20,356",Verizon Center,
1286,"Mon, May 11, 2015",9:30p,Golden State Warriors,101,Memphis Grizzlies,84,Box Score,,"18,119",FedEx Forum,
1287,"Tue, May 12, 2015",7:00p,Chicago Bulls,101,Cleveland Cavaliers,106,Box Score,,"20,562",Quicken Loans Arena,
1288,"Tue, May 12, 2015",9:30p,Los Angeles Clippers,103,Houston Rockets,124,Box Score,,"18,142",Toyota Center,
1289,"Wed, May 13, 2015",8:00p,Washington Wizards,81,Atlanta Hawks,82,Box Score,,"18,854",Philips Arena,
1290,"Wed, May 13, 2015",10:30p,Memphis Grizzlies,78,Golden State Warriors,98,Box Score,,"19,596",Oracle Arena,
1291,"Thu, May 14, 2015",8:00p,Cleveland Cavaliers,94,Chicago Bulls,73,Box Score,,"22,695",United Center,
1292,"Thu, May 14, 2015",10:30p,Houston Rockets,119,Los Angeles Clippers,107,Box Score,,"19,417",STAPLES Center,
1293,"Fri, May 15, 2015",7:00p,Atlanta Hawks,94,Washington Wizards,91,Box Score,,"20,356",Verizon Center,
1294,"Fri, May 15, 2015",9:30p,Golden State Warriors,108,Memphis Grizzlies,95,Box Score,,"18,119",FedEx Forum,
1295,"Sun, May 17, 2015",3:30p,Los Angeles Clippers,100,Houston Rockets,113,Box Score,,"18,463",Toyota Center,
1296,"Tue, May 19, 2015",9:00p,Houston Rockets,106,Golden State Warriors,110,Box Score,,"19,596",Oracle Arena,
1297,"Wed, May 20, 2015",8:30p,Cleveland Cavaliers,97,Atlanta Hawks,89,Box Score,,"18,489",Philips Arena,
1298,"Thu, May 21, 2015",9:00p,Houston Rockets,98,Golden State Warriors,99,Box Score,,"19,596",Oracle Arena,
1299,"Fri, May 22, 2015",8:30p,Cleveland Cavaliers,94,Atlanta Hawks,82,Box Score,,"18,670",Philips Arena,
1300,"Sat, May 23, 2015",9:00p,Golden State Warriors,115,Houston Rockets,80,Box Score,,"18,282",Toyota Center,
1301,"Sun, May 24, 2015",8:30p,Atlanta Hawks,111,Cleveland Cavaliers,114,Box Score,OT,"20,562",Quicken Loans Arena,
1302,"Mon, May 25, 2015",9:00p,Golden State Warriors,115,Houston Rockets,128,Box Score,,"18,239",Toyota Center,
1303,"Tue, May 26, 2015",8:30p,Atlanta Hawks,88,Cleveland Cavaliers,118,Box Score,,"20,562",Quicken Loans Arena,
1304,"Wed, May 27, 2015",9:00p,Houston Rockets,90,Golden State Warriors,104,Box Score,,"19,596",Oracle Arena,
1305,"Thu, Jun 4, 2015",9:00p,Cleveland Cavaliers,100,Golden State Warriors,108,Box Score,OT,"19,596",Oracle Arena,
1306,"Sun, Jun 7, 2015",8:00p,Cleveland Cavaliers,95,Golden State Warriors,93,Box Score,OT,"19,596",Oracle Arena,
1307,"Tue, Jun 9, 2015",9:00p,Golden State Warriors,91,Cleveland Cavaliers,96,Box Score,,"20,562",Quicken Loans Arena,
